route_id,path,methods,endpoint,legacy_module,source,registration_source,registration_kind,decorators,inline_auth_signals,auth_semantics,client_surfaces,client_references,contract_source,target_module,migration_status,compatibility_notes
e651119a7daf,/,GET,main.main_pages.index,main,app/modules/main/routes/pages_components/hub.py:507,app/modules/main/routes/pages_components/hub.py:507,blueprint_decorator,[],[],"[""global_anonymous_allow_exact"",""route_auth:none""]",tests;web,"{""tests"":[""tests/test_smoke_auth.py:60:test_client_literal""],""web"":[""app/modules/admin/templates/admin/admin_base.html:640:navigation_literal"",""app/modules/auth/templates/auth/login.html:1066:navigation_literal"",""app/modules/coding/templates/coding/home.html:469:navigation_literal"",""app/modules/coding/templates/coding/index.html:507:navigation_literal"",""app/modules/exam/templates/exam/exam_settlement_v2.html:97:navigation_literal"",""app/modules/main/templates/main/shared/app_shell.html:877:navigation_literal"",""app/modules/quiz/templates/quiz/partials/quiz/assets/js/_00_bootstrap.html:75:navigation_literal"",""app/modules/quiz/templates/quiz/partials/quiz/layout/_header.html:39:navigation_literal"",""app/modules/quiz/templates/quiz/partials/quiz/layout/_sidebar.html:34:navigation_literal"",""app/modules/quiz/templates/quiz/partials/quiz/modals/_modals_score.html:24:navigation_literal"",""app/modules/quiz/templates/quiz/quiz_settlement_v2.html:206:navigation_literal"",""app/modules/quiz/templates/quiz/quiz_settlement_v2.html:275:navigation_literal""]}",runtime:url_map;source:app/modules/main/routes/pages_components/hub.py:507,identity,pending,preserve path/method/status/envelope/auth/null/pagination
dcd3e19fb8e0,/about,GET,main.main_pages.about_page,main,app/modules/main/routes/pages_components/misc.py:34,app/modules/main/routes/pages_components/misc.py:34,blueprint_decorator,[],[],"[""global_anonymous_login_redirect"",""route_auth:none""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/main/routes/pages_components/misc.py:34,identity,pending,preserve path/method/status/envelope/auth/null/pagination
a65aa1e897a5,/account,GET,main.main_pages.account_page,main,app/modules/main/routes/pages_components/account_settings.py:49,app/modules/main/routes/pages_components/account_settings.py:49,blueprint_decorator,[],[],"[""global_anonymous_login_redirect"",""route_auth:none""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/main/routes/pages_components/account_settings.py:49,identity,pending,preserve path/method/status/envelope/auth/null/pagination
29e880450737,/account/bindings,GET,main.main_pages.account_bindings_page,main,app/modules/main/routes/pages_components/account_settings.py:67,app/modules/main/routes/pages_components/account_settings.py:67,blueprint_decorator,[],[],"[""global_anonymous_login_redirect"",""route_auth:none""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/main/routes/pages_components/account_settings.py:67,identity,pending,preserve path/method/status/envelope/auth/null/pagination
7920559714d0,/account/profile,GET,main.main_pages.account_profile_page,main,app/modules/main/routes/pages_components/account_settings.py:55,app/modules/main/routes/pages_components/account_settings.py:55,blueprint_decorator,[],[],"[""global_anonymous_login_redirect"",""route_auth:none""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/main/routes/pages_components/account_settings.py:55,identity,pending,preserve path/method/status/envelope/auth/null/pagination
6129b8ca05c8,/account/security,GET,main.main_pages.account_security_page,main,app/modules/main/routes/pages_components/account_settings.py:61,app/modules/main/routes/pages_components/account_settings.py:61,blueprint_decorator,[],[],"[""global_anonymous_login_redirect"",""route_auth:none""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/main/routes/pages_components/account_settings.py:61,identity,pending,preserve path/method/status/envelope/auth/null/pagination
607e01fbbd5d,/admin/,GET,admin.admin_pages.admin_dashboard,admin,app/modules/admin/routes/pages.py:12,app/modules/admin/routes/pages.py:12,blueprint_decorator,[],[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_auth:none""]",not_found_static_scan,not_found_static_scan,runtime:url_map;source:app/modules/admin/routes/pages.py:12,operations,pending,preserve path/method/status/envelope/auth/null/pagination
203357dd4137,/admin/api/ai-change-records,POST,admin.admin_api.create_ai_change_record,admin,app/modules/admin/routes/api_components/ai_change_records.py:61,app/modules/admin/routes/api_components/ai_change_records.py:61,blueprint_decorator,"[""_record_auth_required""]","[""session_reference""]","[""global_record_token_or_bearer_bypass_else_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:record_token_or_bearer""]",tests,"{""tests"":[""tests/test_ai_change_records.py:32:test_client_literal"",""tests/test_ai_change_records.py:68:test_client_literal"",""tests/test_ai_change_records.py:96:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/ai_change_records.py:61,intelligence,pending,preserve path/method/status/envelope/auth/null/pagination
e78daaf00a41,/admin/api/ai-change-records,GET,admin.admin_api.list_ai_change_records,admin,app/modules/admin/routes/api_components/ai_change_records.py:83,app/modules/admin/routes/api_components/ai_change_records.py:83,blueprint_decorator,"[""_record_auth_required""]",[],"[""global_record_token_or_bearer_bypass_else_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:record_token_or_bearer""]",tests,"{""tests"":[""tests/test_ai_change_records.py:113:test_client_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/ai_change_records.py:83,intelligence,pending,preserve path/method/status/envelope/auth/null/pagination
dc346ac7cc5c,/admin/api/ai/models,POST,admin.admin_api.list_ai_models,admin,app/modules/admin/routes/api_components/system_config.py:120,app/modules/admin/routes/api_components/system_config.py:120,blueprint_decorator,"[""admin_required""]",[],"[""global_anonymous_login_redirect"",""admin_blueprint_hook:session_or_jwt_plus_role_if_global_gate_passes"",""route_decorator:session+admin_role""]",web,"{""web"":[""app/modules/admin/templates/admin/settings/ai.html:382:fetch_literal""]}",runtime:url_map;source:app/modules/admin/routes/api_components/system_config.py:120,intelligence,pending,preserve path/method/status/envelope/auth/null/pagination
