resource_kind,resource_name,legacy_owner,legacy_source,target_owner,persistence_role,constraints_or_pattern,migration_status,notes
table,ai_change_records,admin/ai,app/models/ai_change_record.py; migrations/versions/d0e1f2a3b4c5_add_ai_change_records.py,intelligence,business_fact,columns=9; fk=created_by->users.id; unique=external_id; indexes=ix_ai_change_records_category_created(category+created_at)|ix_ai_change_records_source_created(source+created_at); migration_indexes=ix_ai_change_records_category_created|ix_ai_change_records_source_created,inventoried,One runtime writer during cutover.
table,ai_chat_messages,ai_chat,app/models/ai_chat.py; migrations/versions/a7b8c9d0e1f2_add_ai_chat_tables.py,intelligence,business_fact,columns=10; fk=session_id->ai_chat_sessions.id|user_id->users.id; indexes=ix_ai_chat_messages_session_created(session_id+created_at); migration_indexes=ix_ai_chat_messages_session_created,inventoried,One runtime writer during cutover.
table,ai_chat_sessions,ai_chat,app/models/ai_chat.py; migrations/versions/a7b8c9d0e1f2_add_ai_chat_tables.py,intelligence,business_fact,columns=7; fk=user_id->users.id; indexes=ix_ai_chat_sessions_user_updated(user_id+updated_at); migration_indexes=ix_ai_chat_sessions_user_updated,inventoried,One runtime writer during cutover.
table,alembic_version,alembic,Alembic migration tooling,operations,migration_tooling,version column; physical database tooling table,inventoried,Physical migration-tooling table; included to close the 70-table local PostgreSQL inventory.
table,backup_jobs,admin/backup,app/models/backup.py; migrations/versions/f3c4d5e6a7b8_add_backup_jobs.py,operations,business_fact,columns=17; fk=created_by->users.id; unique=active_slot|schedule_slot; indexes=ix_backup_jobs_status_created(status+created_at); migration_indexes=ix_backup_jobs_status_created,inventoried,One runtime writer during cutover.
table,bank_share_records,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,personalbank,business_fact,columns=8; fk=bank_id->user_question_banks.id|share_id->bank_shares.id|user_id->users.id; unique=share_id+user_id,inventoried,One runtime writer during cutover.
table,bank_shares,user_bank,app/models/user_bank.py; migrations/versions/3a7dbef5d592_initial_schema.py,personalbank,business_fact,columns=11; fk=bank_id->user_question_banks.id|owner_id->users.id; unique=share_code|share_token,inventoried,One runtime writer during cutover.
table,chat_conversations,chat,app/models/chat.py; migrations/versions/3a7dbef5d592_initial_schema.py,messaging,business_fact,columns=6,inventoried,One runtime writer during cutover.
table,chat_members,chat,app/models/chat.py; migrations/versions/3a7dbef5d592_initial_schema.py,messaging,business_fact,columns=6; fk=conversation_id->chat_conversations.id|user_id->users.id; unique=conversation_id+user_id,inventoried,One runtime writer during cutover.
table,chat_messages,chat,app/models/chat.py; migrations/versions/3a7dbef5d592_initial_schema.py,messaging,business_fact,columns=7; fk=conversation_id->chat_conversations.id|sender_id->users.id; migration_indexes=ix_chat_messages_conv_created,inventoried,One runtime writer during cutover.
table,code_drafts,coding,app/models/coding.py; migrations/versions/3a7dbef5d592_initial_schema.py,coding,business_fact,columns=6; fk=question_id->coding_questions.id|user_id->users.id; unique=user_id+question_id,inventoried,One runtime writer during cutover.
table,code_submissions,coding,app/models/coding.py; migrations/versions/3a7dbef5d592_initial_schema.py,coding,business_fact,columns=12; fk=question_id->coding_questions.id|user_id->users.id; migration_indexes=ix_code_submissions_user_question,inventoried,One runtime writer during cutover.
table,coding_questions,coding,app/models/coding.py; migrations/versions/3a7dbef5d592_initial_schema.py,coding,business_fact,columns=16; fk=coding_subject_id->coding_subjects.id,inventoried,One runtime writer during cutover.
table,coding_statistics,coding,app/models/coding.py; migrations/versions/3a7dbef5d592_initial_schema.py,coding,business_fact,columns=10; fk=question_id->coding_questions.id|user_id->users.id; unique=user_id+question_id,inventoried,One runtime writer during cutover.
table,coding_subjects,coding,app/models/coding.py; migrations/versions/3a7dbef5d592_initial_schema.py,coding,business_fact,columns=5; unique=name,inventoried,One runtime writer during cutover.
table,duplicate_check_records,admin,app/models/system.py; migrations/versions/3a7dbef5d592_initial_schema.py,operations,business_fact,columns=7; fk=created_by->users.id|subject_id->subjects.id,inventoried,One runtime writer during cutover.
table,edu_grade_overview_snapshots,edu_schedule,app/models/edu_schedule.py; migrations/versions/f4a5b6c7d8e9_add_edu_grade_overview_snapshots.py,campus,business_fact,columns=9; fk=user_id->users.id; unique=user_id+refresh_id; indexes=ix_edu_grade_overview_user_account_fetched(user_id+jwxt_account_key+refresh_order+fetched_at); migration_indexes=ix_edu_grade_overview_user_account_fetched,inventoried,One runtime writer during cutover.
table,edu_grade_snapshots,edu_schedule,app/models/edu_schedule.py; migrations/versions/c8d9e0f1a2b3_add_edu_grade_snapshots.py,campus,business_fact,columns=13; fk=user_id->users.id; unique=user_id+refresh_id+xnm+xqm; indexes=ix_edu_grade_snapshots_user_account_fetched(user_id+jwxt_account_key+refresh_order+fetched_at)|ix_edu_grade_snapshots_user_refresh(user_id+refresh_id); migration_indexes=ix_edu_grade_snapshots_user_account_fetched|ix_edu_grade_snapshots_user_fetched|ix_edu_grade_snapshots_user_refresh,inventoried,One runtime writer during cutover.
table,edu_schedule_credentials,edu_schedule,app/models/edu_schedule.py; migrations/versions/b7c8d9e0f1a2_add_edu_schedule_tables.py,campus,business_fact,columns=7; fk=user_id->users.id; unique=user_id,inventoried,One runtime writer during cutover.
table,edu_schedule_snapshots,edu_schedule,app/models/edu_schedule.py; migrations/versions/b7c8d9e0f1a2_add_edu_schedule_tables.py,campus,business_fact,columns=10; fk=user_id->users.id; migration_indexes=ix_edu_schedule_snapshots_user_fetched,inventoried,One runtime writer during cutover.
table,email_verification_codes,auth,app/models/user.py; migrations/versions/3a7dbef5d592_initial_schema.py,identity,business_fact,columns=9; fk=user_id->users.id; migration_indexes=ix_email_codes_email_type_used,inventoried,One runtime writer during cutover.
